Student_Id,Question,Answer Choices,Answer,Difficulty,Assigned Points
Candidate 482,"Hvis du ønsker at en kodesekvens bare skal kjøre under visse forutsetninger, hva ville du
benyttet?

Velg ett alternativ:","A) Klasse
B) Aritmetiske operatorer
C) If-test
D) Modul",A) Klasse,easy,0.25
Candidate 482,"Hvilket alternativ passer best til følgende beskrivelse?

""En itererende sekvens av kodelinjer"".

Velg ett alternativ:","A) For-loop
B) Klasse
C) Modul
D) Funksjon",A) For-loop,easy,0.25
Candidate 482,"Hva brukes pass til i Python?

Velg ett alternativ:","A) Brukes for å lage en løkke.
B) Hopper over resten av koden i nåværende iterasjon av en løkke.
C) Oppretter en feilmelding.
D) Brukes som placeholder, gjør ingenting i seg selv.",B) Hopper over resten av koden i nåværende iterasjon av en løkke.,easy,0.5
Candidate 482,"Hvilke av de følgende kodelinjene KAN være eksempler hvor en funksjon blir KALT? Velg ett eller
flere av følgende alternativer:

Velg ett eller flere alternativer","A) add_five += 5
B) def add_together(number_1, number_2):
             return number_1 + number_2
C) result = multiply()
D) multiply(1,3)","B) def add_together(number_1, number_2):
             return number_1 + number_2",easy,0.5
Candidate 482,"Hvordan kan du ikke opprette en dictionary?

Velg ett eller flere alternativer","A) d = {'milk': ['whole', 'skimmed']}
B) d = {'milk': 2, 'butter': 1}
C) d = {42: ""forty two"", 9001: ""ninethousandandone""}
D) d = {('milk', 50), ('butter', 1)}","A) d = {'milk': ['whole', 'skimmed']}",easy,0.25
Candidate 482,"Hvilke av de følgende kodelinjene returnerer boolean-verdien True? Velg en eller flere av følgende alternativer: 

Velg ett eller flere alternativer","A) 5 <= 2
B) ""Exam"" = ""Exam""
C) True or False
D) ""Exam"" == ""Exam""",C) True or False,medium,1.0
Candidate 482,"Hvilke av de følgende kodelinjene kan være eksempler på opprettelse av en ny variabel? Velg en
eller flere av følgende alternativer:

Velg ett eller flere alternativer","A) print(name)
B) name = make_random_name()
C) name = ""Olav Stang""
D) age += 1","C) name = ""Olav Stang""
D) age += 1",medium,1.0
Candidate 482,"Hvilke utsagn om while-løkker er SANNE? Velg ett eller flere av følgende alternativer:

Velg ett eller flere alternativer","A) En while-løkke hvor betingelsen blir direkte satt til verdien True vil kjøre uendelig (med mindre programmet avbrytes)
B) Vi KAN benytte logiske operatorer for å definere mer komplekse betingelser for en while-løkke
C) Vi KAN benytte nøkkelordet else for å utføre en handling når while-løkkens betingelse blir
lik False
D) En while-løkke kan IKKE inneholde andre løkker som en del av sin kodesekvens.",A) En while-løkke hvor betingelsen blir direkte satt til verdien True vil kjøre uendelig (med mindre programmet avbrytes),easy,0.75
Candidate 482,"Hva er betydningen av __init__ -metoden i Python?

Velg ett eller flere alternativer","A) Det brukes til å sortere lister.
B) Det er en spesialmetode for å håndtere feilmeldinger/exceptions.
C) Det er en konstruktørmetode og blir alltid kalt når vi oppretter et objekt av en klasse.
D) Det er et reservert nøkkelord til bruk i if-setninger.",C) Det er en konstruktørmetode og blir alltid kalt når vi oppretter et objekt av en klasse.,easy,0.75
Candidate 482,"Hva er hensikten med super()-metoden i Python?

Velg ett eller flere alternativer","A) Generere tilfeldige tall.
B) Runde av flyt-tall til valgt antall desimaler.
C) Kalle på metoder som fins i foreldreklassen.
D) Konvertere heltall til en string.",C) Kalle på metoder som fins i foreldreklassen.,medium,0.5
Candidate 482,"Hva brukes continue til i Python? 
Velg ett eller flere alternativer","A) Få en løkke til å gå uendelig.
B) Hoppe over resten av koden i nåværende iterasjon av en løkke.
C) Avslutte en funksjon.
D) Avslutte hele programmet.",A) Få en løkke til å gå uendelig.,medium,1.0
Candidate 482,"Hva må vi sette inn i koden (rød strek på linje 3) for at 15 skal skrives ut?

a=8
b=7
if a __ b:
      print(a + b)

Velg ett eller flere alternativer","A) ==
B) >
C) !=
D) <",B) >,medium,1.0
Candidate 482,"total = 0
ls = [1,2,3,4,5,6]
for number in ls:
      total = total + number

print(total)


Hva skrives ut når dette programmet kjøres?

Velg ett alternativ:","A) 21
B) 0
C) 6
D) 20",C) 6,easy,0.0
Candidate 482,"ls = [1,2,-3,4,-5,6]
 i = 0 
while i<len(ls): 
     ls[i] = ls[i] * 2 
     i = i + 1 

print(ls[4]) 

Hva skrives ut når dette programmet kjøres?
 Velg ett alternativ:","A) -10
B) 0
C) 22
D) 8",A) -10,easy,1.0
Candidate 482,"def greet_person(name, greeting = ''Hei"", age= None):
       print(f""{greeting}, {name}! Alder: {age}"")

va blir utskriften?
Velg ett alternativ:
","A) ""Hei, Bob! Alder: 25""
B) ""Hei, Bob!""
C) ""Hei, Bob! age=25""
D) ""Hei, Bob! Alder: None""","A) ""Hei, Bob! Alder: 25""",easy,0.75
Candidate 482,"list1 = [1,2,3]
list2 = [4,5,6]

print(list1 + list2)

Hva blir utskriften? 
Velg ett alternativ:","A) [4, 5, 6]
B) [1, 2, 3, 4, 5, 6]
C) [1, 2, 3]
D) [1, 2, 3, [4, 5, 6]]","D) [1, 2, 3, [4, 5, 6]]",easy,0.75
Candidate 482,"I denne oppgaven skal du lage en enkel meny for Rudolfs ribberestaurant.
Menyen skal defineres i en dictionary, som skal hete menu. I denne skal nøklene/key være
matrettens navn og verdi/value skal være de tilhørende prisene for rettene. Prisene skal være av
datatypen float.

Følgende retter skal inkluderes i menyen:
Ribbe til 145,90 kr
Pinnekjøtt til 155,90 kr
Lutefisk til 135,90 kr
Nøttestek til 135,90 kr
Reinsdyrstek til 155,90 kr

Videre skal du definere en funksjon for å vise én rett fra menyen, og dens pris. Funksjonen skal
hete display_menu_item(). Den skal ta minst 2 parametere:
     menu - en dictionary (med samme format som beskrevet over)
     menu_item – en string - et navn/nøkkel på en rett

Funksjonen skal så skrive ut navnet på valgt rett og prisen på retten.
Utskriften skal formateres til å se f.eks. slik ut:

Meny:
Ribbe – 145.90 kr


Skriv ditt svar her",,"""menu"" = {
     ""Rudolfs ribberestaurant"":{
 ""Ribbe"" : 145,90 kr
""Pinnekjøtt"" : 155,90 
""Lutefisk"" : 135,90 
""Nøttestek"" : 135,90 
""Reinsdyrstek"" : 155,90 
     }
 }

def display_menu_item(display, awd):
      print(f""pin{display[Ribbe]}"")
    
display_menu_item(Menu[ ""Rudolfs ribberestaurant""])",medium,0.0
Candidate 482,"Nå som menyen er laget for restauranten skal det lages et system for å la kundene bestille fra
den.
Lag en funksjon som heter place_order(). Funksjonen skal ta minst 5 parametere:

    ribbe - heltall og skal ha en standardverdi på 0.
    pinne - heltall og skal ha en standardverdi på 0.
    lute - heltall og skal ha en standardverdi på 0.
    nut - heltall og skal ha en standardverdi på 0.
    rein - heltall og skal ha en standardverdi på 0.

Parameterne representerer antall som blir bestilt av hver rett og skal lagres som en dictionary
der nøklene/keys skal være navnet på rettene (samme som i oppgave 3.1) og verdi/value skal
være antall som blir bestilt (antall skal være av datatypen int).

Dersom det blir bestilt reinsdyrstek skal funksjonen skrive ut ‘Buhuu’.

Til slutt skal funksjonen returnere dictionaryen som ble opprettet. Merk at denne skal returneres
uavhengig av om 'Buhuu' blir skrevet ut.

Skriv ditt svar her
",,"""menu"" = {
     ""Rudolfs ribberestaurant"":{
 ""Ribbe"" : 145,90 kr
 ""Pinnekjøtt"" : 155,90 
""Lutefisk"" : 135,90 
""Nøttestek"" : 135,90 
""Reinsdyrstek"" : 155,90 
     }
}

def place_order(ribbe, pinne, lute, nut, rein):
     order = int(input(""Hva er det du vill bestille""))
     print(order)
     print(f""{menu[place-order]}"")
place_order()",medium,0.0
Candidate 482,"Vi vil nå lage funksjonalitet for å regne ut prisen på de bestilte rettene. Vi skal lage to funksjoner
for dette. I denne oppgaven kan man få inntil 7 poeng dersom enten A eller B er løst. For å få 10
poeng må man ha løst begge.

A)
Definer en funksjon som heter calculate_total(). Denne skal ta minst 2 parametere:
        menu – menyen fra tidligere – dictionary
        order – en oversikt over hvor mange av hver rett som er bestilt –dictionary

Funksjonen skal regne ut summen for de bestilte rettene som fins i order.
Hent navn på retten og antall bestilt fra dictionary med bestillingen, og hent pris fra menyen (hint:nøkkel/key er like for begge dictionaryene).

Til slutt skal funksjonen returnere den totale prisen.
Ingen utskrift for denne funksjonen.



B)
Definer en funksjon som heter display_cost(). Denne skal ta minst 2 parametere:
      menu – menyen fra tidligere – dictionary
      order – en bestilling – dictionary


Funksjonen skal skrive ut navn på matrett, antall bestilt og pris for hver rett som er bestilt.

Hint: Denne funksjonen er nesten identisk med calculate_total(), og det meste av koden kan gjenbrukes fra den. Istedenfor å returnere den totale kostnaden skal den altså gi en utskrift.

Utskriften kan f.eks. se slik ut:

Ribbe - (3) - 437.70 kr
Reinsdyrstek - (2) - 311.8 kr



Skriv ditt svar her",,"""menu"" = {
     ""Rudolfs ribberestaurant"":{
 ""Ribbe"" : 145,90 kr
 ""Pinnekjøtt"" : 155,90 
""Lutefisk"" : 135,90 
""Nøttestek"" : 135,90 

""Reinsdyrstek"" : 155,90 
     }
 }
 def calculate_pris_Ribbe(handle, menu_id)
 total1 _ pris = 0
 for mat-antall-handlet.item():
    if mat_antall_handel in alle_mat:
        mat = alle_mat[mat_antall_handle]
        antall = int(""antall ribbe du vill ha"")
        pris = mat[ribbe]*antall
        total_pris += ribbe
        
        return total_pris
        
total_pris= calculate_pris_ribbe(handle, menu_id)",medium,0.0
Candidate 482,"Rudolf ønsker nå at kunden skal bekrefte sin bestilling.
Definer en funksjon som heter confirm_order(). Denne skal ta minst 1 parameter:

     order_cost – bestillingens totale kostnad - float

Funksjonen skal vise kunden den totale prisen og be kunden om å skrive inn enten ‘yes’ eller ‘no’
på spørsmål om bestillingen bekreftes. Man skal altså ta en input fra kunden.

Hvis brukeren svarer ‘yes’, skal meldingen ‘Rudolf er grønn på nesen!’ vises og funksjonen skal
returnere True.

Hvis brukeren ikke svarer ‘yes’, skal meldingen ‘Rudolf er rød på nesen’ vises og funksjonen skal returnere False.

Skriv ditt svar her",,"inpu = input
 
def confirm_order(kunden):
      Rudolf = input("" Er det dette riktige bestilling"")
      if inpu == ""yes""
      kunden.bekreft()
      print(""Rudolf er grønn på nesen"")
      return True

      if inpu == ""no""
      print(""Rudolf er rød på nesen"")
      return false",medium,0.4
Candidate 482,"Ordrehistorikk.
Rudolf ønsker å ha et system som lagrer bestillingene til senere.

1. Definer en tom liste som skal lagre bestillingene. Bestillingene som skal legges i listen skal
være av datatypen dictionary (jmf. Oppgave 3.2).

2. Definer en funksjon som skal hete record_order(). Funksjonen skal ta minst 2 parametere:
           history_list - listen der bestillingene skal lagres - en list
           order - en oversikt over hvor mange av hver rett som er bestilt - en dictionary
   Funksjonen skal så legge til bestillingen i listen.



Skriv ditt svar her",,"def record_order(history_list, order_en):
      tom_liste []
      for history in i menu:
           if [""Ribbe""]=< order_en
           tom_liste.appened(history_list)
           return tom_list
 
           print(menu())",medium,0.0
Candidate 482,"Filhåndtering.
Når dagen er over og restauranten stenger slår Rudolf av systemet for å spare strøm. Han
trenger derfor en måte å lagre ordrehistorikken på selv når strømmen er avslått, og for å kunne
hente den fram igjen ved en annen anledning. Han bestemmer seg for å lagre hver bestilling til en
fil etterhvert som de kommer inn.

I denne oppgaven skal du definere to funksjoner, en for å skrive til en fil og en for å lese fra en fil.
Filen bør være en json-fil.
Del A og del B teller likt.

A)
Definer en funksjon som skal hete save_order_to_file(). Denne skal ta minst 2 parametere:
   file_name - navnet på filen det skal lagres til - en string
   order - en oversikt over hvor mange av hver rett som er bestilt - en dictionary

Funksjonen skal så lagre bestillingen (order) til filen.
Merk at tanken bak funksjonen er at den skal lagre én ordre per fil.

B)
Definer en funksjon som skal hete load_order_from_file(). Denne skal ta minst 1 parameter:
     file_name - navnet på filen det skal leses fra - en string

Dersom filen ikke finnes skal det skrives ut ""Fant ikke filen"".
Funksjonen skal lese fra filen og returnere innholdet fra filen.


Skriv ditt svar her",,"def save_order_to_file(file_name, order_oversikt):
    bestille = true
    while bestille:
        print(""\n command"")
        print(""\n A _add addere"")
        print(""\n B den skal lagre en fil "")
        print(""\n C den er avslutter bestillingen"")
        
        command = input("" pick command"")
        if commad == ""A"":
            item_add = input("" hav du vill bestille"")
            menu.append(item_add)
            print(f""{item_add} alle menu"")
            
        elif command = ""B""
        print("" den er lagret"")
        
        else:
            break
        
        
        
def  load_order_from_file(m):
    for mi in m2

   m1 += m2
    
    try:
        
        return round(fil1)
        
        except fil1
        retun 
        print()
        hadde ikke tid
        
        bruker de der ",medium,0.2
Candidate 483,"Hvordan starter du en while-loop?
Velg ett alternativ:","A) while x > y
B) x < y while {
C) while x > y:
D) while (x > y)",C) while x > y:,easy,0.75
Candidate 483,"Hvilken syntaks er korrekt for å opprette en funksjon? 
Velg ett alternativ:","A) def myFunction():
B) create myFunction():
C) gen myFunction():
D) function myFunction():",A) def myFunction():,easy,0.75
Candidate 483,"Hvilket alternativ passer best til følgende beskrivelse? ""En samling (i form av en fil) med kode-funksjonalitet vi kan importere og benytte i koden vår."" 
Velg ett alternativ:","A) Modul
B) Funksjon
C) Exception
D) For-loop",A) Modul,hard,0.75
Candidate 483,"Hvilken av disse samlingene definerer en liste? 
Velg ett alternativ:","A) (""dog"", ""cat"", ""honey badger"")
B) [""dog"", ""cat"", ""honey badger""]
C) {""species"": ""honey badger"", ""name"": ""Nils""}
D) {""dog"", ""cat"", ""honey badger""}","B) [""dog"", ""cat"", ""honey badger""]",easy,0.5
Candidate 483,"Hvilken operator kan brukes til å gi en variabel en ny verdi? 
Velg ett alternativ:","A) >
B) +=
C) !=
D) ==",B) +=,easy,0.5
Candidate 483,"Hvilken av de følgende kodelinjene oppretter en for-løkke som vil kjøre 6 ganger? 
Velg ett alternativ","A) for number in numbers[6]
B) for number < 6:
C) for number in range(6):
D) for 0 in 6:",C) for number in range(6):,medium,1.0
Candidate 483,"Hvilken av de følgende kodelinjene legger til et nytt element på slutten av listen? 

animals = [""dog"", ""cat""] 
cow = ""cow"" 
Velg ett alternativ:","A) animals[""cow""] = cow
B) animals[-1] = cow
C) animals.append(cow)
D) animals.pop(cow)",C) animals.append(cow),easy,0.5
Candidate 483,"Hva brukes elif til i Python? 
Velg ett alternativ:","A) Det brukes som nøkkelord for kode som alltid skal kjøres i en if-test.
B) Det finnes ikke noe nøkkelord som heter elif i Python.
C) Det er kort for 'else if', og brukes når vi vil ha flere enn én if-test.
D) Vi må ha med elif på slutten av en løkke.","C) Det er kort for 'else if', og brukes når vi vil ha flere enn én if-test.",easy,0.75
Candidate 483,"Hvilket alternativ passer best til følgende beskrivelse?:

""En navngitt referanse til en verdi.""

Velg ett alternativ:","A) Variabel
B) Klasse
C) Liste
D) Funksjon",A) Variabel,easy,0.25
Candidate 483,"Hvis du ønsker at en kodesekvens bare skal kjøre under visse forutsetninger, hva ville du
benyttet?

Velg ett alternativ:","A) If-test
B) Modul
C) Aritmetiske operatorer
D) Klasse",A) If-test,easy,0.25
Candidate 483,"Hvilket alternativ passer best til følgende beskrivelse?

""En itererende sekvens av kodelinjer"".

Velg ett alternativ:","A) Funksjon
B) For-loop
C) Klasse
D) Modul",B) For-loop,easy,0.25
Candidate 483,"Hva brukes pass til i Python?

Velg ett alternativ:","A) Brukes som placeholder, gjør ingenting i seg selv.
B) Brukes for å lage en løkke.
C) Oppretter en feilmelding.
D) Hopper over resten av koden i nåværende iterasjon av en løkke.",C) Oppretter en feilmelding.,easy,0.25
Candidate 483,"Hvilke av de følgende kodelinjene KAN være eksempler hvor en funksjon blir KALT? Velg ett eller
flere av følgende alternativer:

Velg ett eller flere alternativer","A) def add_together(number_1, number_2):
             return number_1 + number_2
B) add_five += 5
C) multiply(1,3)
D) result = multiply()","C) multiply(1,3)
D) result = multiply()",easy,0.5
Candidate 483,"Hvordan kan du ikke opprette en dictionary?

Velg ett eller flere alternativer","A) d = {'milk': 2, 'butter': 1}
B) d = {'milk': ['whole', 'skimmed']}
C) d = {('milk', 50), ('butter', 1)}
D) d = {42: ""forty two"", 9001: ""ninethousandandone""}","B) d = {'milk': ['whole', 'skimmed']}
C) d = {('milk', 50), ('butter', 1)}",easy,0.5
Candidate 483,"Hvilke av de følgende kodelinjene returnerer boolean-verdien True? Velg en eller flere av følgende alternativer: 

Velg ett eller flere alternativer","A) ""Exam"" = ""Exam""
B) True or False
C) ""Exam"" == ""Exam""
D) 5 <= 2","B) True or False
C) ""Exam"" == ""Exam""",medium,1.0
Candidate 483,"Hvilke av de følgende kodelinjene kan være eksempler på opprettelse av en ny variabel? Velg en
eller flere av følgende alternativer:

Velg ett eller flere alternativer","A) name = make_random_name()
B) print(name)
C) age += 1
D) name = ""Olav Stang""","A) name = make_random_name()
D) name = ""Olav Stang""",medium,1.0
Candidate 483,"Hvilke utsagn om while-løkker er SANNE? Velg ett eller flere av følgende alternativer:

Velg ett eller flere alternativer","A) Vi KAN benytte logiske operatorer for å definere mer komplekse betingelser for en while-løkke
B) Vi KAN benytte nøkkelordet else for å utføre en handling når while-løkkens betingelse blir
lik False
C) En while-løkke kan IKKE inneholde andre løkker som en del av sin kodesekvens.
D) En while-løkke hvor betingelsen blir direkte satt til verdien True vil kjøre uendelig (med mindre programmet avbrytes)","A) Vi KAN benytte logiske operatorer for å definere mer komplekse betingelser for en while-løkke
D) En while-løkke hvor betingelsen blir direkte satt til verdien True vil kjøre uendelig (med mindre programmet avbrytes)",medium,1.0
Candidate 483,"Hva er betydningen av __init__ -metoden i Python?

Velg ett eller flere alternativer","A) Det brukes til å sortere lister.
B) Det er et reservert nøkkelord til bruk i if-setninger.
C) Det er en spesialmetode for å håndtere feilmeldinger/exceptions.
D) Det er en konstruktørmetode og blir alltid kalt når vi oppretter et objekt av en klasse.",D) Det er en konstruktørmetode og blir alltid kalt når vi oppretter et objekt av en klasse.,medium,1.5
Candidate 483,"Hva er hensikten med super()-metoden i Python?

Velg ett eller flere alternativer","A) Konvertere heltall til en string.
B) Generere tilfeldige tall.
C) Runde av flyt-tall til valgt antall desimaler.
D) Kalle på metoder som fins i foreldreklassen.",D) Kalle på metoder som fins i foreldreklassen.,medium,0.5
Candidate 483,"Hva brukes continue til i Python? 
Velg ett eller flere alternativer","A) Få en løkke til å gå uendelig.
B) Avslutte en funksjon.
C) Avslutte hele programmet.
D) Hoppe over resten av koden i nåværende iterasjon av en løkke.",D) Hoppe over resten av koden i nåværende iterasjon av en løkke.,easy,0.75
Candidate 483,"Hva må vi sette inn i koden (rød strek på linje 3) for at 15 skal skrives ut?

a=8
b=7
if a __ b:
      print(a + b)

Velg ett eller flere alternativer","A) >
B) ==
C) !=
D) <","A) >
C) !=",medium,1.0
Candidate 483,"total = 0
ls = [1,2,3,4,5,6]
for number in ls:
      total = total + number

print(total)


Hva skrives ut når dette programmet kjøres?

Velg ett alternativ:","A) 6
B) 21
C) 20
D) 0",B) 21,easy,0.25
Candidate 483,"ls = [1,2,-3,4,-5,6]
 i = 0 
while i<len(ls): 
     ls[i] = ls[i] * 2 
     i = i + 1 

print(ls[4]) 

Hva skrives ut når dette programmet kjøres?
 Velg ett alternativ:","A) 8
B) -10
C) 22
D) 0",B) -10,easy,0.0
Candidate 483,"def greet_person(name, greeting = ''Hei"", age= None):
       print(f""{greeting}, {name}! Alder: {age}"")

va blir utskriften?
Velg ett alternativ:
","A) ""Hei, Bob! Alder: None""
B) ""Hei, Bob! Alder: 25""
C) ""Hei, Bob! age=25""
D) ""Hei, Bob!""","B) ""Hei, Bob! Alder: 25""",easy,0.75
Candidate 483,"list1 = [1,2,3]
list2 = [4,5,6]

print(list1 + list2)

Hva blir utskriften? 
Velg ett alternativ:","A) [1, 2, 3, 4, 5, 6]
B) [4, 5, 6]
C) [1, 2, 3]
D) [1, 2, 3, [4, 5, 6]]","D) [1, 2, 3, [4, 5, 6]]",easy,0.75
Candidate 483,"I denne oppgaven skal du lage en enkel meny for Rudolfs ribberestaurant.
Menyen skal defineres i en dictionary, som skal hete menu. I denne skal nøklene/key være
matrettens navn og verdi/value skal være de tilhørende prisene for rettene. Prisene skal være av
datatypen float.

Følgende retter skal inkluderes i menyen:
Ribbe til 145,90 kr
Pinnekjøtt til 155,90 kr
Lutefisk til 135,90 kr
Nøttestek til 135,90 kr
Reinsdyrstek til 155,90 kr

Videre skal du definere en funksjon for å vise én rett fra menyen, og dens pris. Funksjonen skal
hete display_menu_item(). Den skal ta minst 2 parametere:
     menu - en dictionary (med samme format som beskrevet over)
     menu_item – en string - et navn/nøkkel på en rett

Funksjonen skal så skrive ut navnet på valgt rett og prisen på retten.
Utskriften skal formateres til å se f.eks. slik ut:

Meny:
Ribbe – 145.90 kr


Skriv ditt svar her",," menu = {
         ""Ribbe"": 145.90,
         ""Pinnekjøtt"": 155.90,
         ""Lutefisk"": 135.90,
         ""Nøttestek"": 135.90,
         ""Reinsdyrstek"": 155.90
 }


 def display_menu_item(menu, menu_item):
          print(""Meny:"")
          print(f""{menu_item} - {menu[menu_item]}kr"")",medium,0.0
Candidate 483,"Nå som menyen er laget for restauranten skal det lages et system for å la kundene bestille fra
den.
Lag en funksjon som heter place_order(). Funksjonen skal ta minst 5 parametere:

    ribbe - heltall og skal ha en standardverdi på 0.
    pinne - heltall og skal ha en standardverdi på 0.
    lute - heltall og skal ha en standardverdi på 0.
    nut - heltall og skal ha en standardverdi på 0.
    rein - heltall og skal ha en standardverdi på 0.

Parameterne representerer antall som blir bestilt av hver rett og skal lagres som en dictionary
der nøklene/keys skal være navnet på rettene (samme som i oppgave 3.1) og verdi/value skal
være antall som blir bestilt (antall skal være av datatypen int).

Dersom det blir bestilt reinsdyrstek skal funksjonen skrive ut ‘Buhuu’.

Til slutt skal funksjonen returnere dictionaryen som ble opprettet. Merk at denne skal returneres
uavhengig av om 'Buhuu' blir skrevet ut.

Skriv ditt svar her
",," def place_order(ribbe=0, pinne=0, lute=0, nut=0, rein=0):
       order = {
              ""Ribbe"": ribbe,
              ""Pinnekjøtt"": pinne,
              ""Lutefisk"": lute,
               ""Nøttestek"": nut,
               ""Reinsdyrstek"": rein
         }
 
         if order[""Reinsdyrstek""] != 0:
               print(""Buhuu"")

         return order",medium,0.4
Candidate 483,"Vi vil nå lage funksjonalitet for å regne ut prisen på de bestilte rettene. Vi skal lage to funksjoner
for dette. I denne oppgaven kan man få inntil 7 poeng dersom enten A eller B er løst. For å få 10
poeng må man ha løst begge.

A)
Definer en funksjon som heter calculate_total(). Denne skal ta minst 2 parametere:
        menu – menyen fra tidligere – dictionary
        order – en oversikt over hvor mange av hver rett som er bestilt –dictionary

Funksjonen skal regne ut summen for de bestilte rettene som fins i order.
Hent navn på retten og antall bestilt fra dictionary med bestillingen, og hent pris fra menyen (hint:nøkkel/key er like for begge dictionaryene).

Til slutt skal funksjonen returnere den totale prisen.
Ingen utskrift for denne funksjonen.



B)
Definer en funksjon som heter display_cost(). Denne skal ta minst 2 parametere:
      menu – menyen fra tidligere – dictionary
      order – en bestilling – dictionary


Funksjonen skal skrive ut navn på matrett, antall bestilt og pris for hver rett som er bestilt.

Hint: Denne funksjonen er nesten identisk med calculate_total(), og det meste av koden kan gjenbrukes fra den. Istedenfor å returnere den totale kostnaden skal den altså gi en utskrift.

Utskriften kan f.eks. se slik ut:

Ribbe - (3) - 437.70 kr
Reinsdyrstek - (2) - 311.8 kr



Skriv ditt svar her",," def calculate_total(menu, order):
       for i in range(len(menu))
       total_price += menu[i] * order[i]
       return total_price
 
def display_cost(menu, order):
     if order[""Ribbe""] != 0:
             print(f""Ribbe - ({order[""Ribbe""]}) - {order[""Ribbe""] *menu[""Ribbe""]}kr"")
     if order[""Pinnekjøtt""] != 0:
       print(f""Pinnekjøtt - ({order[""Pinnekjøtt""]}) - {order[""Pinnekjøtt""] * menu
    if order[""Lutefisk""] != 0:
        print(f""Lutefisk - ({order[""Lutefisk""]}) - {order[""Lutefisk""] * menu[""Lutef
    if order[""Nøttestek""] != 0:
        print(f""Nøttestek - ({order[""Nøttestek""]}) - {order[""Nøttestek""] * menu[""Nø
    if order[""Reinsdyrstek""] != 0:
        print(f""Reinsdyrstek - ({order[""Reinsdyrstek""]}) - {order[""Reinsdyrstek""] *
       ",medium,0.4
